significant_genes,coef
SPATA31D1,0.5123083396436681
SPEF2,0.5979903823255871
SPEG,-0.153962658502863
SPHKAP,1.2279923883313903
SPTA1,-0.6305203241669083
SSPO,-0.6636402425345709
STK11,0.9470281185180408
SYNE1,-0.8590721757551953
SYNE2,0.0902508030847114
TAF1L,-0.8110619996906989
TENM1,-0.4407140466202638
TENM2,-0.14969383398246705
TENM3,-0.02002253242698392
TEX15,0.07532850837042743
TG,0.6464488644644468
THSD7A,-0.3060383803678542
THSD7B,0.907341393150376
TLR4,0.38127120665489234
TMPRSS15,0.242001950594225
TNN,-0.834421382346102
TNR,0.8343163537927467
TP53,0.9561301509866685
TPTE,-0.236813396706897
TRIO,0.6292189428753785
TRO,0.42005787050899523
TRPC4,0.24749099789953533
TRPS1,0.8481292513310739
TSHZ3,0.2633362221791102
TTN,0.2342784279180188
UBR4,-0.24250794948936344
UNC13C,-0.3045447750224009
UNC5D,-0.3060428929437021
UNC79,0.17077110329723755
USH2A,-0.10821211325655826
USP29,-0.6016316481681109
VCAN,-0.4277062667204562
VPS13B,0.17525727951975117
WDFY3,0.23885484866753998
XIRP2,0.31499728126978244
ZFHX4,-0.09116206447391022
ZFPM2,0.18794091368020574
ZNF423,-0.3373028854252913
ZNF479,-0.16042081263637992
ZNF521,0.25715217458159445
ZNF536,-0.7248513242217027
ZNF804A,-0.11944988812895811
ZNF804B,-0.2224163008311427
ZNF831,-0.7953600841048282
ZNF99,0.7896814978210989
age,-0.02145785728254488
gender_encoded,0.6598673545538571
stage_encoded,0.424814751274786
Stromal,4.590918748864139
Immune,-1.9961075386361413
